,Message,Actual,Predictions
347,One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt..,ham,ham
348,K:)k.are you in college?,ham,ham
349,Wat time r ü going to xin's hostel?,ham,ham
350,I am 6 ft. We will be a good combination!,ham,ham
351,What you thinked about me. First time you saw me in class.,ham,ham
352,But i'm surprised she still can guess right lor...,ham,ham
353,Its sarcasm.. .nt scarcasim,ham,ham
354,Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL,ham,ham
355,Have you got Xmas radio times. If not i will get it now,ham,ham
356,Are you this much buzy,ham,ham
357,"Yep, at derek's house now, see you Sunday &lt;3",ham,ham
358,No need to ke qi... Ü too bored izzit y suddenly thk of this...,ham,ham
359,Havent still waitin as usual... Ü come back sch oredi?,ham,ham
360,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8",ham,ham
361,We're on the opposite side from where we dropped you off,ham,ham
362,We currently have a message awaiting your collection. To collect your message just call 08718723815.,spam,ham
363,Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....,ham,ham
364,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,spam,spam
365,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,spam,spam
366,As in different styles?,ham,ham
367,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play £250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088",spam,spam
368,Only 2% students solved this CAT question in 'xam... 5+3+2= &lt;#&gt;  9+2+4= &lt;#&gt;  8+6+3= &lt;#&gt;  then 7+2+5=????? Tell me the answer if u r brilliant...1thing.i got d answr.,ham,ham
369,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only,spam,spam
370,Or u ask they all if next sat can a not. If all of them can make it then i'm ok lor.,ham,ham
371,I dunno until when... Lets go learn pilates...,ham,ham
372,"I'll get there at 3, unless you guys want me to come some time sooner",ham,ham
373,Yunny... I'm goin to be late,ham,ham
374,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,spam,spam
375,Think + da. You wil do.,ham,ham
376,Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM,ham,ham
377,"449050000301 You have won a £2,000 price! To claim, call 09050000301.",spam,spam
378,Are you planning to come chennai?,ham,ham
379,Where are you ? You said you would be here when I woke ... :-(,ham,ham
380,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p,spam,spam
381,Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1,spam,ham
382,Cold. Dont be sad dear,ham,ham
383,He neva grumble but i sad lor... Hee... Buy tmr lor aft lunch. But we still meetin 4 lunch tmr a not. Neva hear fr them lei. Ü got a lot of work ar?,ham,ham
384,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...,ham,ham
385,Dunno lei... I thk mum lazy to go out... I neva ask her yet...,ham,ham
386,"sure, but make sure he knows we ain't smokin yet",ham,ham
387,Can not use foreign stamps in this country. Good lecture .,ham,ham
388,Ladies first and genus second k .,ham,ham
389,"Cool, want me to go to kappa or should I meet you outside mu",ham,ham
390,"What i mean was i left too early to check, cos i'm working a 9-6.",ham,ham
391,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam,spam
392,How come she can get it? Should b quite diff to guess rite...,ham,ham
393,I didn't get the second half of that message,ham,ham
394,Talk to g and x about that,ham,ham
395,Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.,ham,ham
396,Super msg da:)nalla timing.,ham,ham
397,S.i think he is waste for rr..,ham,ham
398,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs,spam,spam
399,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt",ham,ham
400,I'm thinking that chennai forgot to come for auction..,ham,ham
401,Yup i shd haf ard 10 pages if i add figures... Ü all got how many pages?,ham,ham
402,It's é only $140 ard...É rest all ard $180 at least...Which is é price 4 é 2 bedrm ($900),ham,ham
403,Honey boo I'm missing u.,ham,ham
404,Saw Guys and Dolls last night with Patrick Swayze it was great,ham,ham
405,Left dessert. U wan me 2 go suntec look 4 u?,ham,ham
406,"Vikky, come around  &lt;TIME&gt; ..",ham,ham
407,"Actually fuck that, just do whatever, do find an excuse to be in tampa at some point before january though",ham,ham
408,"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe",ham,ham
409,Old Orchard near univ. How about you?,ham,ham
410,"Yo, you around? Just got my car back",ham,ham
411,So the sun is anti sleep medicine.,ham,ham
412,Lmao you know me so well...,ham,ham
413,"Hey. What happened? U switch off ur cell d whole day. This isnt good. Now if u do care, give me a call tomorrow.",ham,ham
414,"Gumby's has a special where a  &lt;#&gt; "" cheese pizza is $2 so I know what we're doin tonight",ham,ham
415,"Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing.",ham,ham
416,"That‘s the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!",ham,ham
417,Jay's getting really impatient and belligerent,ham,ham
418,Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate),spam,spam
419,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",spam,spam
420,"Ok da, i already planned. I wil pick you.",ham,ham
421,"Sorry pa, i dont knw who ru pa?",ham,ham
422,"Urgh, coach hot, smells of chip fat! Thanks again, especially for the duvet (not a predictive text word).",ham,ham
423,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment.",ham,ham
424,How much u trying to get?,ham,ham
425,Aiyo a bit pai seh ü noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...,ham,ham
426,No i'm not gonna be able to. || too late notice. || i'll be home in a few weeks anyway. || what are the plans,ham,ham
427,Nooooooo I'm gonna be bored to death all day. Cable and internet outage.,ham,ham
428,Ffffffffff. Alright no way I can meet up with you sooner?,ham,ham
429,Take some small dose tablet for fever,ham,ham
430,Sorry de i went to shop.,ham,ham
431,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",ham,ham
432,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,spam,spam
433,No b4 Thursday,ham,ham
434,Not able to do anything.,ham,ham
435,Noice. Text me when you're here,ham,ham
436,Ill be at yours in about 3 mins but look out for me,ham,ham
437,Am going to take bath ill place the key in window:-),ham,ham
438,"Yeah why not, is the gang all ready",ham,ham
439,The search 4 happiness is 1 of d main sources of unhappiness! Accept life the way it comes! U will find happiness in every moment u live.,ham,ham
440,Sorry I missed your call let's talk when you have the time. I'm on 07090201529,spam,ham
441,Cramps stopped. Going back to sleep,ham,ham
442,No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-),ham,ham
443,"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",ham,ham
444,Aah bless! How's your arm?,ham,ham
445,U still havent got urself a jacket ah?,ham,ham
446,No need lar. Jus testing e phone card. Dunno network not gd i thk. Me waiting 4 my sis 2 finish bathing so i can bathe. Dun disturb u liao u cleaning ur room.,ham,ham
447,I will see in half an hour,ham,ham
448,Discussed with your mother ah?,ham,ham
449,Did u find out what time the bus is at coz i need to sort some stuff out.,ham,ham
450,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",ham,ham
451,It's ok i wun b angry. Msg u aft i come home tonight.,ham,ham
452,Glad it went well :) come over at 11 then we'll have plenty of time before claire goes to work.,ham,ham
453,Well then you have a great weekend!,ham,ham
454,Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore,ham,ham
455,"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?",ham,ham
456,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,spam,spam
457,It has issues right now. Ill fix for her by tomorrow.,ham,ham
458,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance..",ham,ham
459,My uncles in Atlanta. Wish you guys a great semester.,ham,ham
460,"Me not waking up until 4 in the afternoon, sup",ham,ham
461,May b approve panalam...but it should have more posts..,ham,ham
462,True. Its easier with her here.,ham,ham
463,I've reached home finally...,ham,ham
464,Then we wait 4 u lor... No need 2 feel bad lar...,ham,ham
465,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate",spam,spam
466,I'm still looking for a car to buy. And have not gone 4the driving test yet.,ham,ham
467,Dont flatter yourself... Tell that man of mine two pints of carlin in ten minutes please.... ,ham,ham
468,Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!,spam,spam
469,I wan but too early lei... Me outside now wun b home so early... Neva mind then...,ham,ham
470,I will send them to your email. Do you mind  &lt;#&gt;  times per night?,ham,ham
471,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,spam,spam
472,I'm home. Ard wat time will u reach?,ham,ham
473,Yeah but which is worse for i,ham,ham
474,So u workin overtime nigpun?,ham,ham
475,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,ham,ham
476,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",ham,ham
477,GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@£1.50rcvd,spam,ham
478,I am not having her number sir,ham,ham
479,If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:),ham,ham
480,You said to me before i went back to bed that you can't sleep for anything.,ham,ham
481,Yeah just open chat and click friend lists. Then make the list. Easy as pie,ham,ham
482,Have you emigrated or something? Ok maybe 5.30 was a bit hopeful...,ham,ham
483,You best watch what you say cause I get drunk as a motherfucker,ham,ham
484,Omg if its not one thing its another. My cat has worms :/ when does this bad day end?,ham,ham
485,I'm fine. Hope you are also,ham,ham
486,I cant pick the phone right now. Pls send a message,ham,ham
487,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,ham,ham
488,No..jst change tat only..,ham,ham
489,No it's waiting in e car dat's bored wat. Cos wait outside got nothing 2 do. At home can do my stuff or watch tv wat.,ham,ham
490,"Aight, tomorrow around  &lt;#&gt;  it is",ham,ham
491,Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.,spam,ham
492,Convey my regards to him,ham,ham
493,Thanks  and ! Or bomb and date as my phone wanted to say! ,ham,ham
494,Thought we could go out for dinner. I'll treat you! Seem ok?,ham,ham
495,Its posible dnt live in  &lt;#&gt; century cm frwd n thnk different,ham,ham
496,"Sorry, I'll call later",ham,ham
497,What u talking bout early morning? It's almost noon where your at!,ham,ham
498,Your brother is a genius,ham,ham
499,Anything is valuable in only 2 situations: First- Before getting it... Second- After loosing it...,ham,ham
500,"Easy mate, * guess the quick drink was bit ambitious.",ham,ham
501,Po de :-):):-):-):-). No need job aha.,ham,ham
502,In the end she might still vomit but its okay. Not everything will come out.,ham,ham
503,Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.,ham,ham
504,Are there TA jobs available? Let me know please cos i really need to start working,ham,ham
505,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,ham,ham
506,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,spam,spam
507,Da is good good player.why he is unsold.,ham,ham
508,Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..,ham,ham
509,My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.,ham,ham
510,See you there! ,ham,ham
511,Dear got train and seat mine lower seat,ham,ham
512,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...",ham,ham
513,I want to send something that can sell fast.  &lt;#&gt; k is not easy money.,ham,ham
514,But am going to college pa. What to do. are else ill come there it self. Pa.,ham,ham
515,Yes. I come to nyc for audiitions and am trying to relocate.,ham,ham
516,Ooooooh I forgot to tell u I can get on yoville on my phone,ham,ham
517,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",ham,ham
518,Beauty sleep can help ur pimples too.,ham,ham
519,important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam,ham
520,Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow,spam,spam
521,Eh u send wrongly lar...,ham,ham
522,I have a sore throat. It's scratches when I talk,ham,ham
523,What's happening with you. Have you gotten a job and have you begun registration for permanent residency,ham,ham
524,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash",ham,ham
525,Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.,ham,ham
526,Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.,ham,ham
527,Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just £5 by replying GET BBDELUXE and take the challenge,spam,ham
528,In which place do you want da.,ham,ham
529,Watching tv now. I got new job :),ham,ham
530,No. But we'll do medical missions to nigeria,ham,ham
531,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,spam,spam
532,Yes! How is a pretty lady like you single?,ham,ham
533,i can call in  &lt;#&gt;  min if thats ok,ham,ham
534,"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send ""go stop"" to 89123",spam,ham
535,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training.",ham,ham
536,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,spam,spam
537,"That's fine, have him give me a call if he knows what he wants or has any questions",ham,ham
538,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :),ham,ham
539,MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM.,ham,ham
540,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",spam,ham
541,"yeah, that's what I was thinking",ham,ham
542,He's in lag. That's just the sad part but we keep in touch thanks to skype,ham,ham
543,Is toshiba portege m100 gd?,ham,ham
544,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,ham,ham
545,I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..,ham,ham
546,Have you heard from this week?,ham,ham
547,Yep then is fine 7.30 or 8.30 for ice age.,ham,ham
548,Compliments to you. Was away from the system. How your side.,ham,ham
549, &lt;DECIMAL&gt; m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla,ham,ham
550,We have pizza if u want,ham,ham
551,This pay is  &lt;DECIMAL&gt;  lakhs:),ham,ham
552,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",ham,ham
553,Still in customer place,ham,ham
554,K I'll call you when I'm close,ham,ham
555,it's really getting me down just hanging around.,ham,ham
556,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham,ham
557,This is my number by vivek..,ham,ham
558,"Dear, will call Tmorrow.pls accomodate.",ham,ham
559,So what did the bank say about the money?,ham,ham
560,Am not interested to do like that.,ham,ham
561,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend.",ham,ham
562,Really dun bluff me leh... U sleep early too. Nite...,ham,ham
563,Are you free now?can i call now?,ham,ham
564,"Text me when you get off, don't call, my phones having problems",ham,ham
565,Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil,ham,ham
566,Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u ,ham,ham
567,Lol I would but despite these cramps I like being a girl.,ham,ham
568,"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",spam,spam
569,Yep. I do like the pink furniture tho.,ham,ham
570,"Oops I did have it,  &lt;#&gt; ?",ham,ham
571,But you were together so you should be thinkin about him,ham,ham
572,"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007",spam,spam
573,"Yup. Anything lor, if u dun wan it's ok...",ham,ham
574,I've been trying to reach him without success,ham,ham
575,I'm wif him now buying tix lar...,ham,ham
576,Join the UK's horniest Dogging service and u can have sex 2nite!. Just sign up and follow the instructions. Txt ENTRY to 69888 now! Nyt.EC2A.3LP.msg@150p,spam,spam
577,"Hi Chikku, send some nice msgs",ham,ham
578,You always make things bigger than they are,ham,ham
579,I've sent my wife your text. After we buy them she'll tell you what to do. So just relax. We should go get them this wkend.,ham,ham
580,Ü wait 4 me in sch i finish ard 5..,ham,ham
581, &lt;#&gt;  in mca. But not conform.,ham,ham
582,I'm okay. Chasing the dream. What's good. What are you doing next.,ham,ham
583,I have to take exam with march 3,ham,ham
584,"Hey sorry I didntgive ya a a bellearlier hunny,just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx.",ham,ham
585,"Nah I don't think he goes to usf, he lives around here though",ham,ham
586,Ya very nice. . .be ready on thursday,ham,ham
587,"It‘s reassuring, in this crazy world.",ham,ham
588,"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOOD NIGHT",ham,ham
589,How will I creep on you now? ;_;,ham,ham
590,Hope you are not scared!,ham,ham
591,Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186 ,spam,ham
592,Haha... can... But i'm having dinner with my cousin...,ham,ham
593,I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?,ham,ham
594,Dunno leh cant remember mayb lor. So wat time r we meeting tmr?,ham,ham
595,Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87021.,spam,ham
596,"I call you later, don't have network. If urgnt, sms me.",ham,ham
597,K tell me anything about you.,ham,ham
598,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm ,spam,spam
599,We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,spam,spam
600,either way works for me. I am  &lt;#&gt;  years old. Hope that doesnt bother you.,ham,ham
601,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,ham,ham
602,it to 80488. Your 500 free text messages are valid until 31 December 2005.,spam,spam
603,Lol yeah at this point I guess not,ham,ham
604,R u still working now?,ham,ham
605,Mmmm.... I cant wait to lick it!,ham,ham
606,"Just checked out, heading out to drop off my stuff now",ham,ham
607,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-),ham,ham
608,"K, text me when you're on the way",ham,ham
609,1's finish meeting call me.,ham,ham
610,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",spam,spam
611,I have printed it oh. So  &lt;#&gt;  come upstairs,ham,ham
612,", ,  and  picking them up from various points | going 2 yeovil | and they will do the motor project 4 3 hours | and then u take them home. || 12 2 5.30 max. || Very easy",ham,ham
613,Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,spam,spam
614,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",ham,ham
615,Call from 08702490080 - tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,spam,spam
616,K k :-):-) then watch some films.,ham,ham
617,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again! ,ham,ham
618,Doing my masters. When will you buy a bb cos i have for sale and how's bf,ham,ham
619,Nope but i'll b going 2 sch on fri quite early lor cos mys sis got paper in da morn :-),ham,ham
620,Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?,ham,ham
621,"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16",spam,spam
622,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",ham,ham
623,Now press conference da:),ham,ham
624,Great comedy..cant stop laughing da:),ham,ham
625,"Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must.",ham,ham
626,You are right though. I can't give you the space you want and need. This is really starting to become an issue. I was going to suggest setting a definite move out--if i'm still there-- after greece. But maybe you are ready and should do it now.,ham,ham
627,Warner Village 83118 C Colin Farrell in SWAT this wkend @Warner Village & get 1 free med. Popcorn!Just show msg+ticket@kiosk.Valid 4-7/12. C t&c @kiosk. Reply SONY 4 mre film offers,spam,ham
628,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,ham,ham
629,"Nope. Since ayo travelled, he has forgotten his guy",ham,ham
630,"That day ü say ü cut ur hair at paragon, is it called hair sense? Do ü noe how much is a hair cut? ",ham,ham
631,Great! I shoot big loads so get ready!,ham,ham
632,Aiyah u did ok already lar. E nydc at wheellock?,ham,ham
633,"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka? ",ham,ham
634,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",spam,ham
635,I surely dont forgot to come:)i will always be in touch in with you:-),ham,ham
636,"Ok. Can be later showing around 8-8:30 if you want + cld have drink before. Wld prefer not to spend money on nosh if you don't mind, as doing that nxt wk.",ham,ham
637,"Lol ... Oh no babe, I wont be sliding into your place after midnight, but thanks for the invite",ham,ham
638,I dont have that much image in class.,ham,ham
639,Call him and say you not coming today ok and tell them not to fool me like this ok,ham,ham
640,"Ur balance is now £600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!",spam,ham
641,"Sorry, I'll call later in meeting",ham,ham
642,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p,spam,ham
643,Fuck cedar key and fuck her (come over anyway tho),ham,ham
644,U know we watchin at lido?,ham,ham
645,"Bill, as in: Are there any letters for me. i’m expecting one from orange that isn’t a bill but may still say orange on it.",ham,ham
646,Don't fret. I'll buy the ovulation test strips and send them to you. You wont get them til like march. Can you send me your postal address.u'll be alright.Okay.,ham,ham
647,Lol its ok I didn't remember til last nite,ham,ham
648,"You aren't coming home between class, right? I need to work out and shower!",ham,ham
649,"Hey elaine, is today's meeting still on?",ham,ham
650,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...,ham,ham
651,Nope i'm not drivin... I neva develop da photos lei...,ham,ham
652,My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.,ham,ham
653,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,spam,ham
654,* You gonna ring this weekend or wot?,ham,ham
655,"As in missionary hook up, doggy hook up, standing...|",ham,ham
656,You have 1 new voicemail. Please call 08719181513.,spam,ham
657,Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.,ham,ham
658,I'm e person who's doing e sms survey...,ham,ham
659,Howz that persons story,ham,ham
660,"Haha, just what I was thinkin",ham,ham
661,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,ham,ham
662,K.k:)advance happy pongal.,ham,ham
663,"St andre, virgil's cream",ham,ham
664,But i have to. I like to have love and arrange.,ham,ham
665,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,spam,spam
666,Wot about on wed nite I am 3 then but only til 9!,ham,ham
667,We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.,ham,ham
